Model,Hits@1,P@1,Hits@5,P@5,Hits@10,P@10,MRR
BERT-base,0.21739130434782608,0.21739130434782608,0.391304347826087,0.19999999999999998,0.782608695652174,0.21304347826086958,0.3497331983967115
BioBERT,0.30434782608695654,0.30434782608695654,0.4782608695652174,0.20869565217391303,0.6521739130434783,0.1826086956521739,0.3906744860709055
PubMedBERT,0.43478260869565216,0.43478260869565216,0.6521739130434783,0.3304347826086957,0.8260869565217391,0.21304347826086953,0.5376430230821722
SapBERT,0.5217391304347826,0.5217391304347826,0.6086956521739131,0.42608695652173917,0.7391304347826086,0.4173913043478262,0.5915364828408307
Llama-3.1-8B,0.30434782608695654,0.30434782608695654,0.6086956521739131,0.2956521739130435,0.7391304347826086,0.20434782608695654,0.4517781288174343
DrugSpace,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.6260869565217392,0.8260869565217391,0.5782608695652175,0.6920666290231507
