Model,Hits@1,P@1,Hits@5,P@5,Hits@10,P@10,MRR
BERT-base,0.2768361581920904,0.2768361581920904,0.5536723163841808,0.27231638418079096,0.6610169491525424,0.2542372881355932,0.4205938102133916
BioBERT,0.3050847457627119,0.3050847457627119,0.5310734463276836,0.2169491525423729,0.6610169491525424,0.1977401129943503,0.4070934064343806
PubMedBERT,0.4293785310734463,0.4293785310734463,0.672316384180791,0.3615819209039548,0.8022598870056498,0.31920903954802254,0.5454495958467622
SapBERT,0.5932203389830508,0.5932203389830508,0.711864406779661,0.512994350282486,0.7740112994350282,0.4830508474576271,0.6579951118514775
Llama-3.1-8B,0.5819209039548022,0.5819209039548022,0.751412429378531,0.4971751412429379,0.8418079096045198,0.4536723163841809,0.662744225913857
DrugSpace,0.672316384180791,0.672316384180791,0.7853107344632768,0.6293785310734463,0.903954802259887,0.5830508474576271,0.7337025066607984
